name,Distance,From_OID,To_OID,Airline_OID
Ethiopian Airlines (ET),5172,3364,1107,2220
Air China (CA),6474,3364,2006,751
Air New Zealand (NZ),6474,3364,2006,345
Hainan Airlines (HU),2031,3364,2908,2660
Air Astana (KC),2031,3364,2908,1006
Air Algerie (AH),5653,3364,210,794
China Southern Airlines (CZ),4860,3364,580,1767
KLM Royal Dutch Airlines (KL),4860,3364,580,3090
Air Foyle (GS),656,3364,6427,690
Air China (CA),4155,3364,737,751
Scandinavian Airlines System (SK),4155,3364,737,4319
Etihad Airways (EY),3698,3364,2179,2222
All Nippon Airways (NH),3698,3364,2179,324
Air China (CA),348,3364,6346,751
Hainan Airlines (HU),348,3364,6346,2660
Japan Air System (JD),348,3364,6346,6557
Shenzhen Airlines (ZH),348,3364,6346,4611
Air China (CA),1350,3364,6351,751
Shenzhen Airlines (ZH),1350,3364,6351,4611
Air China (CA),2059,3364,3885,751
Bangkok Airways (PG),2059,3364,3885,1422
Thai Airways International (TG),2059,3364,3885,4940
SriLankan Airlines (UL),2059,3364,3885,4349
Hainan Airlines (HU),4933,3364,302,2660
Brussels Airlines (SN),4933,3364,302,1531
Hainan Airlines (HU),4551,3364,1489,2660
Malév (MA),4551,3364,1489,3389
Air China (CA),4678,3364,1128,751
Egyptair (MS),4678,3364,1128,2143
Air China (CA),1168,3364,3370,751
China Southern Airlines (CZ),1168,3364,3370,1767
Hainan Airlines (HU),1168,3364,3370,2660
KLM Royal Dutch Airlines (KL),1168,3364,3370,3090
China Eastern Airlines (MU),1168,3364,3370,1758
Scandinavian Airlines System (SK),1168,3364,3370,4319
Shenzhen Airlines (ZH),1168,3364,3370,4611
Air France (AF),5085,3364,1382,137
Air China (CA),5085,3364,1382,751
China Eastern Airlines (MU),5085,3364,1382,1758
China Southern Airlines (CZ),820,3364,6352,1767
Garuda Indonesia (GA),3252,3364,3275,2520
Air China (CA),412,3364,3375,751
China Southern Airlines (CZ),412,3364,3375,1767
China Eastern Airlines (MU),412,3364,3375,1758
Shenzhen Airlines (ZH),412,3364,3375,4611
Air China (CA),499,3364,4380,751
China Southern Airlines (CZ),499,3364,4380,1767
Hainan Airlines (HU),499,3364,4380,2660
Hankook Air (HX),499,3364,4380,16706
China Eastern Airlines (MU),499,3364,4380,1758
Hong Kong Express Airways (UO),499,3364,4380,2774
Shenzhen Airlines (ZH),499,3364,4380,4611
Air China (CA),191,3364,6342,751
China Southern Airlines (CZ),324,3364,6343,1767
Hainan Airlines (HU),324,3364,6343,2660
Korean Air (KE),710,3364,2370,3163
China Eastern Airlines (MU),710,3364,2370,1758
Sichuan Airlines (3U),909,3364,3393,4608
Air China (CA),909,3364,3393,751
China Southern Airlines (CZ),909,3364,3393,1767
Hainan Airlines (HU),909,3364,3393,2660
KLM Royal Dutch Airlines (KL),909,3364,3393,3090
Shenzhen Airlines (ZH),909,3364,3393,4611
Air China (CA),4467,3364,609,751
Scandinavian Airlines System (SK),4467,3364,609,4319
Air China (CA),843,3364,3371,751
China Southern Airlines (CZ),843,3364,3371,1767
Hainan Airlines (HU),843,3364,3371,2660
Xiamen Airlines (MF),843,3364,3371,5484
China Eastern Airlines (MU),843,3364,3371,1758
Shenzhen Airlines (ZH),843,3364,3371,4611
Air China (CA),1308,3364,2287,751
All Nippon Airways (NH),1308,3364,2287,324
Sichuan Airlines (3U),966,3364,3395,4608
Air China (CA),966,3364,3395,751
China Southern Airlines (CZ),966,3364,3395,1767
Hainan Airlines (HU),966,3364,3395,2660
All Nippon Airways (NH),966,3364,3395,324
Scandinavian Airlines System (SK),966,3364,3395,4319
Shenzhen Airlines (ZH),966,3364,3395,4611
Air China (CA),588,3364,4109,751
Shenzhen Airlines (ZH),588,3364,4109,4611
Air China (CA),163,3364,6344,751
Air China (CA),791,3364,6397,751
Air China (CA),407,3364,6433,751
Air China (CA),2365,3364,3093,751
Air China (CA),274,3364,3404,751
Canadian National Airways (CN),274,3364,3404,9829
China Southern Airlines (CZ),274,3364,3404,1767
China Eastern Airlines (MU),274,3364,3404,1758
All Nippon Airways (NH),274,3364,3404,324
Air New Zealand (NZ),274,3364,3404,345
Shenzhen Airlines (ZH),274,3364,3404,4611
Transaero Airlines (UN),3592,3364,4029,5067
Qatar Airways (QR),3829,3364,2241,4091
Hainan Airlines (HU),214,3364,4145,2660
Air China (CA),347,3364,6434,751
Delta Air Lines (DL),6611,3364,3645,2009
Air China (CA),4841,3364,345,751
Lufthansa (LH),4841,3364,345,3320
Air China (CA),3629,3364,2188,751
China Southern Airlines (CZ),3629,3364,2188,1767
Emirates (EK),3629,3364,2188,2183
Hainan Airlines (HU),3629,3364,2188,2660
Kenya Airways (KQ),3629,3364,2188,3126
Air China (CA),833,3364,6353,751
China Southern Airlines (CZ),833,3364,6353,1767
Air Foyle (GS),448,3364,6367,690
Continental Airlines (CO),6811,3364,3494,1881
United Airlines (UA),6811,3364,3494,5209
Alitalia (AZ),5059,3364,1555,596
Air China (CA),5059,3364,1555,751
China Eastern Airlines (MU),5059,3364,1555,1758
Air China (CA),486,3364,3377,751
Air Koryo (JS),486,3364,3377,998
Air China (CA),992,3364,3385,751
China Southern Airlines (CZ),992,3364,3385,1767
