name, latitude, longitude, altitude, timezone
Goroka,-6.081689,145.391881,5282,10
Madang,-5.207083,145.7887,20,10
Mount Hagen,-5.826789,144.295861,5388,10
Nadzab,-6.569828,146.726242,239,10
Port Moresby Jacksons Intl,-9.443383,147.22005,146,10
Wewak Intl,-3.583828,143.669186,19,10
Narsarsuaq,61.160517,-45.425978,112,-3
Nuuk,64.190922,-51.678064,283,-3
Sondre Stromfjord,67.016969,-50.689325,165,-3
Thule Air Base,76.531203,-68.703161,251,-4
Akureyri,65.659994,-18.072703,6,0
Egilsstadir,65.283333,-14.401389,76,0
Hornafjordur,64.295556,-15.227222,24,0
Husavik,65.952328,-17.425978,48,0
Isafjordur,66.058056,-23.135278,8,0
Keflavik International Airport,63.985,-22.605556,171,0
Patreksfjordur,65.555833,-23.965,11,0
Reykjavik,64.13,-21.940556,48,0
Siglufjordur,66.133333,-18.916667,10,0
Vestmannaeyjar,63.424303,-20.278875,326,0
Sault Ste Marie,46.485001,-84.509445,630,-5
Winnipeg St Andrews,50.056389,-97.0325,760,-6
Shearwater,44.639721,-63.499444,167,-4
St Anthony,51.391944,-56.083056,108,-4
Tofino,49.082222,-125.7725,80,-8
Kugaaruk,68.534444,-89.808056,56,-6
Baie Comeau,49.1325,-68.204444,71,-5
Bagotville,48.330555,-70.996391,522,-5
Baker Lake,64.298889,-96.077778,59,-6
Campbell River,49.950832,-125.270833,346,-8
Brandon Muni,49.91,-99.951944,1343,-6
Cambridge Bay,69.108055,-105.138333,90,-7
Nanaimo,49.052333,-123.870167,93,-8
Castlegar,49.296389,-117.6325,1624,-8
Miramichi,47.007778,-65.449167,108,-4
Charlo,47.990833,-66.330278,132,-4
Kugluktuk,67.816667,-115.143889,74,-7
Coronation,52.075001,-111.445278,2595,-7
Chilliwack,49.152779,-121.93889,32,-8
Clyde River,70.486111,-68.516667,87,-5
Fairmont Hot Springs,64.193333,-83.359444,2661,-7
Dawson City,64.043056,-139.127778,1215,-8
Burwash,61.371111,-139.040556,2647,-8
Princeton,49.468056,-120.511389,2298,-8
Deer Lake,49.210833,-57.391388,72,-4
Dease Lake,58.422222,-130.032222,2600,-8
Dauphin Barker,51.100834,-100.0525,999,-6
Dawson Creek,55.742333,-120.183,2148,-7
Edmonton Intl,53.309723,-113.579722,2373,-7
Arviat,61.094166,-94.070833,32,-6
Estevan,49.210278,-102.965833,1905,-6
Edson,53.578888,-116.465,3041,-7
Eureka,79.994722,-85.814167,256,-6
Inuvik Mike Zubko,68.304167,-133.482778,224,-7
Iqaluit,63.75639,-68.555832,110,-5
Fredericton,45.868889,-66.537222,68,-4
Forestville,48.746111,-69.097222,293,-5
Flin Flon,54.678055,-101.681667,997,-6
Fort Resolution,61.180832,-113.689722,526,-7
Fort Simpson,61.760153,-121.236525,555,-7
Kingston,44.225277,-76.596944,305,-5
La Grande Riviere,53.625278,-77.704167,639,-5
Gaspe,48.775278,-64.478611,108,-5
Geraldton Greenstone Regional,49.778332,-86.939445,1144,-5
Iles De La Madeleine,47.424721,-61.778056,35,-4
Hudson Bay,52.816666,-102.31139,1175,-6
Dryden Rgnl,49.831667,-92.744167,1354,-6
Ulukhaktok Holman,70.762778,-117.806111,117,-7
Gjoa Haven,68.635556,-95.849722,152,-6
Hamilton,43.173611,-79.935,780,-5
St Hubert,45.5175,-73.416944,90,-5
Hay River,60.839722,-115.782778,543,-7
Halifax Intl,44.880833,-63.50861,477,-4
Atikokan Muni,48.773888,-91.638611,1408,-6
Pond Inlet,72.683334,-77.966667,181,-5
St Jean,45.294445,-73.281111,136,-5
Stephenville,48.544167,-58.549999,80,-4
Kamloops,50.702222,-120.444444,1133,-8
Waterloo,43.460833,-80.378611,1054,-5
Schefferville,54.805278,-66.805278,1709,-4
Kindersley,51.5175,-109.180833,2277,-6
Buttonville Muni,43.862221,-79.37,650,-5
Chapleau,47.82,-83.346667,1470,-5
Meadow Lake,54.125278,-108.522778,1576,-6
Lloydminster,53.309166,-110.0725,2193,-6
Alert,82.517778,-62.280556,100,-5
Kelowna,49.956112,-119.377778,1409,-8
Mayo,63.616389,-135.868333,1653,-8
Moose Jaw Air Vice Marshal C M Mcewen,50.330278,-105.559167,1892,-6
Fort Mcmurray,56.653333,-111.221944,1211,-7
Moosonee,51.291111,-80.607778,30,-5
Maniwaki,46.272778,-75.990556,656,-5
Montreal Intl Mirabel,45.681944,-74.005278,270,-5
Natashquan,50.19,-61.789167,39,-4
Gatineau,45.521694,-75.563589,211,-5
Matagami,49.761667,-77.802778,918,-5
Old Crow,67.570556,-139.839167,824,-8
Cold Lake,54.404999,-110.279444,1775,-7
High Level,58.621389,-117.164722,1110,-7
Ottawa Macdonald Cartier Intl,45.3225,-75.669167,374,-5
Prince Albert Glass Field,53.214167,-105.672778,1405,-6
Peace River,56.226944,-117.447222,1873,-7
Southport,49.903056,-98.273889,885,-6
Pitt Meadows,49.21611,-122.71,11,-8
Pickle Lake,51.446388,-90.214167,1267,-6
Port Menier,49.836389,-64.288611,167,-5
Peterborough,44.23,-78.363333,628,-5
Prince Rupert,54.28611,-130.444722,116,-8
Fort Chipewyan,58.767223,-111.117222,761,-7
Muskoka,44.974722,-79.303333,925,-5
Quebec Jean Lesage Intl,46.791111,-71.393333,244,-5
Red Deer Regional,52.182222,-113.894444,2968,-7
Windsor,42.275556,-82.955556,622,-5
Watson Lake,60.116389,-128.8225,2255,-8
Kenora,49.788334,-94.363056,1332,-6
Lethbridge,49.630278,-112.799722,3047,-7
Greater Moncton Intl,46.112221,-64.678611,232,-4
Comox,49.710833,-124.886667,84,-8
Regina Intl,50.431944,-104.665833,1894,-6
Thunder Bay,48.371944,-89.323889,653,-5
Grande Prairie,55.179722,-118.885,2195,-7
Yorkton Muni,51.264721,-102.461667,1635,-6
North Battleford,52.769167,-108.24361,1799,-6
Gander Intl,48.936944,-54.568056,496,-4
Sydney,46.161388,-60.047779,203,-4
Quesnel,53.026112,-122.510278,1789,-8
Resolute Bay,74.716944,-94.969444,215,-6
Riviere Du Loup,47.764444,-69.584722,427,-5
Roberval,48.52,-72.265556,586,-5
Rocky Mountain House,52.429722,-114.904167,3244,-7
Rankin Inlet,62.81139,-92.115833,94,-6
Sudbury,46.625,-80.798889,1141,-5
Sherbrooke,45.438611,-71.691389,792,-5
Saint John,45.316111,-65.890278,357,-4
Fort Smith,60.020278,-111.961944,671,-7
Nanisivik,72.982222,-84.613611,2106,-5
Summerside,46.440556,-63.833611,56,-4
Sachs Harbour,71.993889,-125.2425,282,-7
Cape Dorset,64.23,-76.526667,164,-5
Thompson,55.801111,-97.864166,729,-6
Trenton,44.118889,-77.528056,283,-5
Timmins,48.569721,-81.376667,967,-5
City Centre,43.627499,-79.396167,251,-5
Tuktoyaktuk,69.433334,-133.026389,15,-7
Pierre Elliott Trudeau Intl,45.470556,-73.740833,118,-5
Repulse Bay,66.521389,-86.224722,80,-6
Hall Beach,68.776111,-81.243611,27,-5
Rouyn Noranda,48.206111,-78.835556,988,-5
La Ronge,55.15139,-105.261944,1242,-6
Vermilion,53.355833,-110.82389,2025,-7
Qikiqtarjuaq,67.545833,-64.031389,21,-5
Val D Or,48.053333,-77.782778,1107,-5
Kuujjuaq,58.096111,-68.426944,129,-5
Norman Wells,65.281617,-126.798219,238,-7
Vancouver Intl,49.193889,-123.184444,14,-8
Buffalo Narrows,55.841944,-108.4175,1444,-6
Wiarton,44.745834,-81.107222,729,-5
Petawawa,45.952221,-77.319168,427,-5
Winnipeg Intl,49.910036,-97.239886,783,-6
Wabush,52.921944,-66.864444,1808,-4
Williams Lake,52.183056,-122.054167,3085,-8
Wrigley,63.209444,-123.436667,489,-7
Canadian Rockies Intl,49.612222,-115.781944,3084,-7
Edmonton City Centre,53.5725,-113.520556,2200,-7
Saskatoon J G Diefenbaker Intl,52.170834,-106.699722,1653,-6
Medicine Hat,50.01889,-110.720833,2352,-7
Fort St John,56.238056,-120.740278,2280,-8
Sioux Lookout,50.113889,-91.905278,1258,-6
Pangnirtung,66.145,-65.713611,75,-5
Timiskaming Rgnl,47.695,-79.848889,798,-5
Prince George,53.889444,-122.678889,2267,-8
Terrace,54.468508,-128.576219,713,-8
London,43.033056,-81.151111,912,-5
Abbotsford,49.025278,-122.360556,195,-8
Whitehorse Intl,60.709553,-135.067269,2317,-8
North Bay,46.363611,-79.422778,1215,-5
Calgary Intl,51.113888,-114.020278,3557,-7
Smithers,54.824722,-127.182778,1712,-8
Fort Nelson,58.836389,-122.596944,1253,-8
Penticton,49.463056,-119.602222,1129,-8
Charlottetown,46.290001,-63.121111,160,-4
Taloyoak,69.546667,-93.576667,92,-6
Victoria Intl,48.646944,-123.425833,63,-8
Lynn Lake,56.863888,-101.07611,1170,-6
Swift Current,50.291944,-107.690556,2680,-6
Churchill,58.739167,-94.065,94,-6
Goose Bay,53.319168,-60.425833,160,-4
St Johns Intl,47.61861,-52.751945,461,-3.5
Kapuskasing,49.413889,-82.4675,743,-5
Armstrong,50.290279,-88.909721,1058,-5
Mont Joli,48.608612,-68.208056,172,-5
Lester B Pearson Intl,43.677223,-79.630556,569,-5
Downsview,43.7425,-79.465556,652,-5
Gore Bay Manitoulin,45.885277,-82.567778,635,-5
Yellowknife,62.462778,-114.440278,675,-7
Slave Lake,55.293056,-114.777222,1912,-7
Sandspit,53.254333,-131.813833,21,-8
Chris Hadfield,42.999444,-82.308889,594,-5
Port Hardy,50.680556,-127.366667,71,-8
Whitecourt,54.14389,-115.786667,2567,-7
Sept Iles,50.223333,-66.265556,180,-5
Teslin,60.172779,-132.742778,2313,-8
Greenwood,44.984444,-64.916944,92,-4
Faro,62.2075,-133.375833,2351,-8
Fort Mcpherson,67.4075,-134.860556,116,-7
Blida,36.503613,2.814167,535,1
Bou Saada,35.3325,4.206389,1506,1
Soummam,36.711997,5.069922,20,1
Houari Boumediene,36.691014,3.215408,82,1
Tiska,24.292767,9.452444,3176,1
Boufarik,36.545834,2.876111,335,1
Reggane,26.710103,0.285647,955,1
Illizi Takhamalt,26.723536,8.622653,1778,1
Ain Oussera,35.525414,2.878714,2132,1
Tamanrasset,22.811461,5.451075,4518,1
Jijel,36.795136,5.873608,36,1
Mecheria,33.535853,-0.242353,3855,1
Relizane,35.752239,0.626272,282,1
Annaba,36.822225,7.809167,16,1
Mohamed Boudiaf Intl,36.276028,6.620386,2265,1
Cheikh Larbi Tebessi,35.431611,8.120717,2661,1
Hassi R Mel,32.930431,3.311542,2540,1
Bou Chekif,35.341136,1.463147,3245,1
Bou Sfer,35.735389,-0.805389,187,1
Tindouf,27.700372,-8.167103,1453,1
Ech Cheliff,36.212658,1.331775,463,1
Tafaraoui,35.542444,-0.532278,367,1
Zenata,35.016667,-1.45,814,1
Es Senia,35.623858,-0.621183,295,1
Sidi Bel Abbes,35.171775,-0.593275,1614,1
Ghriss,35.207725,0.147142,1686,1
Touat Cheikh Sidi Mohamed Belkebir,27.837589,-0.186414,919,1
Biskra,34.793289,5.738231,289,1
El Golea,30.571294,2.859586,1306,1
Noumerat,32.384106,3.794114,1512,1
Oued Irara,31.672972,6.140444,463,1
In Salah,27.251022,2.512017,896,1
Sidi Mahdi,33.067803,6.088672,279,1
Laghouat,33.764383,2.928344,2510,1
Timimoun,29.237119,0.276033,1027,1
Ouargla,31.917223,5.412778,492,1
In Amenas,28.05155,9.642911,1847,1
Cadjehoun,6.357228,2.384353,19,1
